Country,Name,Type,Status,Location,Reference Unit Power [MW],Gross Electrical Capacity [MW],First Grid Connection,
Russian Federation,VOLGODONSK-3,PWR,Under Construction,VOLGODONSK,1100,1150,,
Russian Federation,VOLGODONSK-4,PWR,Under Construction,VOLGODONSK,1100,1150,,
Slovakia,BOHUNICE A-1,HWGCR,Permanent Shutdown,TRNAVA,104,110,1972-12-25,
Slovakia,BOHUNICE V-1-1,PWR,Permanent Shutdown,TRNAVA,408,440,1978-12-17,
Slovakia,BOHUNICE V-1-2,PWR,Permanent Shutdown,TRNAVA,408,440,1980-03-26,
Slovakia,BOHUNICE V-2-1,PWR,Operational,TRNAVA,471,505,1984-08-20,
Slovakia,BOHUNICE V-2-2,PWR,Operational,TRNAVA,471,505,1985-12-18,
Slovakia,MOCHOVCE-1,PWR,Operational,LEVVICE,471,500,1998-06-07,
Slovakia,MOCHOVCE-2,PWR,Operational,LEVVICE,471,500,2000-12-20,
Slovakia,MOCHOVCE-3,PWR,Operational,LEVVICE,440,471,2023-01-31,
Slovakia,MOCHOVCE-4,PWR,Under Construction,LEVVICE,440,471,,
Slovenia,KRŠKO,PWR,Operational,KRŠKO,666,700,1981-09-11,
South Africa,KOEBERG-1,PWR,Operational,DUYNEFONTEIN,930,970,1984-12-13,
South Africa,KOEBERG-2,PWR,Operational,DUYNEFONTEIN,930,970,1985-07-25,
Spain,ALMARAZ-1,PWR,Operational,ALMARAZ,1008,1049,1981-09-01,
Spain,ALMARAZ-2,PWR,Operational,ALMARAZ,1008,1049,1983-09-08,
Spain,ASCO-1,PWR,Operational,ASCO,1007,1047,1983-05-23,
Spain,ASCO-2,PWR,Operational,ASCO,1007,1047,1985-03-08,
Spain,CENF-1,PWR,Permanent Shutdown,JOSE CABRERA,153,160,1968-07-14,
Spain,GAROÑA,BWR,Permanent Shutdown,SANTA MARIA DE GAROÑA,446,466,1971-03-02,
Spain,VANDELLOS-1,GCR,Permanent Shutdown,VANDELLOS,480,500,1972-05-06,
Spain,VANDELLOS-2,PWR,Operational,VANDELLOS,1045,1087,1987-12-12,
Spain,TRIGA MARK III,TRIGA,Operational,BARCELONA,1,3,1962-11-20,
Spain,VALDECAÑAS,PWR,Permanent Shutdown,ALMARAZ,1008,1049,1981-09-01,
Spain,VALDECAÑAS-1,PWR,Permanent Shutdown,ALMARAZ,1008,1049,1981-09-01,
Spain,VALDECAÑAS-2,PWR,Permanent Shutdown,ALMARAZ,1008,1049,1983-09-08,
Sweden,ASEA-ATOM,BWR,Permanent Shutdown,RINGHALS,900,945,1974-06-15,
Sweden,BARSEBAECK-1,BWR,Permanent Shutdown,BARSEBAECK,600,630,1975-05-15,
Sweden,BARSEBAECK-2,BWR,Permanent Shutdown,BARSEBAECK,600,630,1977-03-21,
Sweden,FORSMARK-1,BWR,Operational,FORSMARK,990,1020,1980-06-06,
Sweden,FORSMARK-2,BWR,Operational,FORSMARK,1121,1180,1980-12-15,
Sweden,FORSMARK-3,BWR,Operational,FORSMARK,1187,1229,1985-03-05,
Sweden,OSKARSHAMN-1,BWR,Permanent Shutdown,OSKARSHAMN,473,492,1972-08-01,
Sweden,OSKARSHAMN-2,BWR,Operational,OSKARSHAMN,661,714,1974-10-02,
Sweden,OSKARSHAMN-3,BWR,Operational,OSKARSHAMN,1400,1450,1985-03-04,
Sweden,RINGHALS-1,BWR,Permanent Shutdown,VARO,856,904,1974-12-17,
Sweden,RINGHALS-2,PWR,Permanent Shutdown,VARO,910,963,1975-10-14,
Sweden,RINGHALS-3,PWR,Operational,VARO,1062,1104,1980-09-09,
Sweden,RINGHALS-4,PWR,Operational,VARO,1080,1118,1982-05-27,
Switzerland,BEZNAU-1,PWR,Operational,DOETTINGEN,380,380,1969-09-06,
Switzerland,BEZNAU-2,PWR,Operational,DOETTINGEN,380,380,1971-10-23,
Switzerland,GÖSGEN,PWR,Operational,DÄNIKEN,985,1030,1979-02-01,
Switzerland,LEIBSTADT,BWR,Operational,LEIBSTADT,1176,1220,1984-05-24,
Switzerland,MÜHLEBERG,BWR,Permanent Shutdown,MÜHLEBERG,355,373,1972-07-01,
Taiwan,CHINSHAN-1,BWR,Permanent Shutdown,TAIPEI,604,636,1977-12-10,
Taiwan,CHINSHAN-2,BWR,Permanent Shutdown,TAIPEI,604,636,1978-12-19,
Taiwan,KUOSHENG-1,BWR,Permanent Shutdown,TAIPEI,985,1020,1981-05-20,
Taiwan,KUOSHENG-2,BWR,Permanent Shutdown,TAIPEI,985,1020,1983-03-16,
Taiwan,LUNGMEN-1,ABWR,Cancelled,TAIPEI,1300,1350,,
Taiwan,LUNGMEN-2,ABWR,Cancelled,TAIPEI,1300,1350,,
Taiwan,MAANSHAN-1,PWR,Operational,PINGTUNG,936,951,1984-05-09,
Taiwan,MAANSHAN-2,PWR,Operational,PINGTUNG,936,951,1985-02-06,
Ukraine,KHARKIV-1,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-2,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-3,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-4,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-5,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-6,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-7,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHARKIV-8,PWR,Under Construction,KHARKIV,1200,1300,,
Ukraine,KHMELNITSKI-1,PWR,Operational,NETESHIN,1000,1000,1987-12-31,
Ukraine,KHMELNITSKI-2,PWR,Operational,NETESHIN,1000,1000,2004-12-15,
Ukraine,KHMELNITSKI-3,PWR,Under Construction,NETESHIN,1000,1000,,
Ukraine,KHMELNITSKI-4,PWR,Under Construction,NETESHIN,1000,1000,,
Ukraine,RIVNE-1,PWR,Operational,KUZNETSOVSK,420,440,1980-12-31,
Ukraine,RIVNE-2,PWR,Operational,KUZNETSOVSK,420,440,1981-12-30,
Ukraine,RIVNE-3,PWR,Operational,KUZNETSOVSK,1000,1000,1986-12-31,
Ukraine,RIVNE-4,PWR,Operational,KUZNETSOVSK,1000,1000,2004-04-10,
Ukraine,SOUTH UKRAINE-1,PWR,Operational,YUZHNO UKRAINSK,1000,1000,1982-12-31,
Ukraine,SOUTH UKRAINE-2,PWR,Operational,YUZHNO UKRAINSK,1000,1000,1985-12-31,
Ukraine,SOUTH UKRAINE-3,PWR,Operational,YUZHNO UKRAINSK,1000,1000,1989-09-20,
Ukraine,SOUTH UKRAINE-4,PWR,Under Construction,YUZHNO UKRAINSK,1000,1000,,
Ukraine,ZAPORIZHIA-1,PWR,Operational,ENERHODAR,950,1000,1984-12-10,
Ukraine,ZAPORIZHIA-2,PWR,Operational,ENERHODAR,950,1000,1985-07-26,
Ukraine,ZAPORIZHIA-3,PWR,Operational,ENERHODAR,950,1000,1986-12-10,
Ukraine,ZAPORIZHIA-4,PWR,Operational,ENERHODAR,950,1000,1987-12-18,
Ukraine,ZAPORIZHIA-5,PWR,Operational,ENERHODAR,950,1000,1989-08-14,
Ukraine,ZAPORIZHIA-6,PWR,Operational,ENERHODAR,950,1000,1995-10-19,
United Arab Emirates,BARAKAH-1,PWR,Operational,BARAKAH,1345,1400,2020-08-19,
United Arab Emirates,BARAKAH-2,PWR,Operational,BARAKAH,1345,1400,2021-09-17,
United Arab Emirates,BARAKAH-3,PWR,Operational,BARAKAH,1345,1400,2022-10-15,
United Arab Emirates,BARAKAH-4,PWR,Operational,BARAKAH,1345,1400,2023-11-20,
United Kingdom,DOUNREAY PFR,FBR,Permanent Shutdown,DOUNREAY,234,250,1974-03-01,
United Kingdom,DOUNREAY DFR,FBR,Permanent Shutdown,DOUNREAY,11,15,1959-11-14,
United Kingdom,SIZEWELL C-1,PWR,Under Construction,SIZEWELL,1630,1670,,
United Kingdom,SIZEWELL C-2,PWR,Under Construction,SIZEWELL,1630,1670,,
United Kingdom,HINKLEY POINT C-1,PWR,Under Construction,HINKLEY POINT,1630,1670,,
United Kingdom,HINKLEY POINT C-2,PWR,Under Construction,HINKLEY POINT,1630,1670,,
United Kingdom,CALDER HALL-1,GCR,Permanent Shutdown,SELLAFIELD,49,60,1956-08-27,
United Kingdom,CALDER HALL-2,GCR,Permanent Shutdown,SELLAFIELD,49,60,1956-08-27,
United Kingdom,CALDER HALL-3,GCR,Permanent Shutdown,SELLAFIELD,49,60,1958-03-01,
United Kingdom,CALDER HALL-4,GCR,Permanent Shutdown,SELLAFIELD,49,60,1958-03-01,
United Kingdom,CHAPELCROSS-1,GCR,Permanent Shutdown,ANNAN,49,60,1959-02-01,
United Kingdom,CHAPELCROSS-2,GCR,Permanent Shutdown,ANNAN,49,60,1959-02-01,
United Kingdom,CHAPELCROSS-3,GCR,Permanent Shutdown,ANNAN,49,60,1959-03-01,
United Kingdom,CHAPELCROSS-4,GCR,Permanent Shutdown,ANNAN,49,60,1959-03-01,
United Kingdom,BERKELEY-1,GCR,Permanent Shutdown,GLOUCESTERSHIRE,138,166,1962-06-12,
United Kingdom,BERKELEY-2,GCR,Permanent Shutdown,GLOUCESTERSHIRE,138,166,1962-07-24,
United Kingdom,BRADWELL-1,GCR,Permanent Shutdown,ESSEX,123,150,1962-09-01,
United Kingdom,BRADWELL-2,GCR,Permanent Shutdown,ESSEX,123,150,1962-11-01,
United Kingdom,HUNTERSTON A-1,GCR,Permanent Shutdown,AYRSHIRE,150,180,1964-02-05,
United Kingdom,HUNTERSTON A-2,GCR,Permanent Shutdown,AYRSHIRE,150,180,1964-06-01,
United Kingdom,HINKLEY POINT A-1,GCR,Permanent Shutdown,SOMERSET,235,268,1965-02-16,
United Kingdom,HINKLEY POINT A-2,GCR,Permanent Shutdown,SOMERSET,235,268,1965-03-01,
United Kingdom,TRAWSFYNYDD-1,GCR,Permanent Shutdown,TRAWSFYNYDD,235,270,1965-01-14,
United Kingdom,TRAWSFYNYDD-2,GCR,Permanent Shutdown,TRAWSFYNYDD,235,270,1965-02-01,
United Kingdom,DUNGENESS A-1,GCR,Permanent Shutdown,DUNGENESS,225,249,1965-09-28,
United Kingdom,DUNGENESS A-2,GCR,Permanent Shutdown,DUNGENESS,225,249,1965-12-29,
United Kingdom,OLDBURY-1,GCR,Permanent Shutdown,OLDBURY,217,230,1967-11-09,
United Kingdom,OLDBURY-2,GCR,Permanent Shutdown,OLDBURY,217,230,1968-04-06,
United Kingdom,WYLFA-1,GCR,Permanent Shutdown,WYLFA,490,540,1971-01-18,
United Kingdom,WYLFA-2,GCR,Permanent Shutdown,WYLFA,490,540,1971-06-01,
United Kingdom,DUNGENESS B-1,AGR,Permanent Shutdown,DUNGENESS,520,600,1983-04-03,
United Kingdom,DUNGENESS B-2,AGR,Permanent Shutdown,DUNGENESS,520,600,1985-12-29,
United Kingdom,HINKLEY POINT B-1,AGR,Permanent Shutdown,HINKLEY POINT,520,600,1976-02-05,
United Kingdom,HINKLEY POINT B-2,AGR,Permanent Shutdown,HINKLEY POINT,520,600,1976-03-29,
United Kingdom,HUNTERSTON B-1,AGR,Permanent Shutdown,AYRSHIRE,520,600,1976-02-06,
United Kingdom,HUNTERSTON B-2,AGR,Permanent Shutdown,AYRSHIRE,520,600,1977-03-31,
United Kingdom,HARTLEPOOL A-1,AGR,Permanent Shutdown,HARTLEPOOL,595,660,1983-08-01,
United Kingdom,HARTLEPOOL A-2,AGR,Permanent Shutdown,HARTLEPOOL,595,660,1984-03-31,
United Kingdom,HEYSHAM A-1,AGR,Permanent Shutdown,HEYSHAM,585,625,1983-07-01,
United Kingdom,HEYSHAM A-2,AGR,Permanent Shutdown,HEYSHAM,585,625,1984-04-30,
United Kingdom,HEYSHAM B-1,AGR,Operational,HEYSHAM,620,680,1988-06-25,
United Kingdom,HEYSHAM B-2,AGR,Operational,HEYSHAM,620,680,1989-04-03,
United Kingdom,TORNESS-1,AGR,Operational,TORNESS,615,675,1988-05-30,
United Kingdom,TORNESS-2,AGR,Operational,TORNESS,615,675,1989-02-03,
United States,ARIZONA,PWR,Operational,WINTERSBURG,1447,1503,1986-02-13,
United States,ARIZONA-2,PWR,Operational,WINTERSBURG,1448,1508,1987-04-10,
United States,ARIZONA-3,PWR,Operational,WINTERSBURG,1447,1503,1987-11-18,
United States,ARKANSAS-1,PWR,Operational,RUSSELLVILLE,836,860,1974-04-24,
United States,ARKANSAS-2,PWR,Operational,RUSSELLVILLE,999,1030,1978-12-22,
United States,BAR-1,BWR,Operational,BEAUFORT,1268,1336,1987-03-31,
United States,BAR-2,BWR,Operational,BEAUFORT,1268,1336,1989-03-29,
United States,BRAIDWOOD-1,PWR,Operational,BRAIDWOOD,1250,1289,1987-05-18,
United States,BRAIDWOOD-2,PWR,Operational,BRAIDWOOD,1250,1289,1987-12-11,
United States,BROWNS FERRY-1,BWR,Operational,ATHENS,1118,1150,1973-09-17,
United States,BROWNS FERRY-2,BWR,Operational,ATHENS,1118,1150,1974-08-02,
United States,BROWNS FERRY-3,BWR,Operational,ATHENS,1118,1150,1976-08-18,
United States,BRUNSWICK-1,BWR,Operational,SOUTHPORT,938,973,1976-11-25,
United States,BRUNSWICK-2,BWR,Operational,SOUTHPORT,938,973,1975-10-10,
United States,BYRON-1,PWR,Operational,BYRON,1232,1287,1985-02-23,
United States,BYRON-2,PWR,Operational,BYRON,1232,1287,1987-01-30,
United States,CALLAWAY-1,PWR,Operational,FULTON,1190,1205,1984-10-25,
United States,CATAWBA-1,PWR,Operational,CLOVER,1145,1193,1985-01-17,
United States,CATAWBA-2,PWR,Operational,CLOVER,1145,1193,1986-05-18,
United States,COOPER,BWR,Operational,BROWNVILLE,764,778,1974-07-02,
United States,DAVIS BESSE-1,PWR,Operational,OAK HARBOR,925,958,1977-07-31,
United States,DIABLO CANYON-1,PWR,Operational,SAN LUIS OBISPO,1122,1180,1984-11-16,
United States,DIABLO CANYON-2,PWR,Operational,SAN LUIS OBISPO,1122,1180,1985-12-09,
United States,DRESDEN-2,BWR,Operational,MORRIS,848,867,1970-04-13,
United States,DRESDEN-3,BWR,Operational,MORRIS,848,867,1971-08-16,
United States,FARLEY-1,PWR,Operational,DOTHAN,860,900,1977-08-16,
United States,FARLEY-2,PWR,Operational,DOTHAN,860,900,1981-05-15,
United States,FERMI-2,BWR,Operational,NEWPORT,1122,1180,1985-06-21,
United States,FITZPATRICK,BWR,Operational,OSWEGO,883,913,1974-12-17,
United States,GINNA,PWR,Operational,ONTARIO,581,600,1970-09-11,
United States,GRAND GULF-1,BWR,Operational,PORT GIBSON,1282,1360,1984-06-30,
United States,HARRIS-1,PWR,Operational,NEW HILL,960,996,1986-01-24,
United States,HATCH-1,BWR,Operational,BAXLEY,927,960,1975-09-07,
United States,HATCH-2,BWR,Operational,BAXLEY,929,956,1978-08-14,
United States,HOPE CREEK-1,BWR,Operational,HANCOCK'S BRIDGE,1219,1290,1986-02-19,
United States,INDIAN POINT-3,PWR,Permanent Shutdown,VERPLANCK,1033,1072,1976-08-14,
United States,KEWAUNEE,PWR,Permanent Shutdown,KEWAUNEE,566,585,1974-02-19,
United States,LASALLE-1,BWR,Operational,SENECA,1123,1176,1982-10-18,
United States,LASALLE-2,BWR,Operational,SENECA,1124,1176,1984-03-24,
United States,LIMERICK-1,BWR,Operational,POTTSTOWN,1123,1175,1985-08-19,
United States,LIMERICK-2,BWR,Operational,POTTSTOWN,1123,1175,1989-08-27,
United States,MCGUIRE-1,PWR,Operational,CORNELIUS,1166,1223,1978-12-28,
United States,MCGUIRE-2,PWR,Operational,CORNELIUS,1170,1223,1984-03-01,
United States,MILLSTONE-2,PWR,Operational,WATERFORD,884,904,1975-11-26,
United States,MILLSTONE-3,PWR,Operational,WATERFORD,1230,1273,1986-02-15,
United States,MONTICELLO,BWR,Operational,MONTICELLO,629,660,1970-12-10,
United States,NINE MILE POINT-1,BWR,Operational,OSWEGO,630,643,1969-11-09,
United States,NINE MILE POINT-2,BWR,Operational,OSWEGO,1175,1218,1987-05-08,
United States,NORTH ANNA-1,PWR,Operational,MINERAL,970,1020,1978-04-17,
United States,NORTH ANNA-2,PWR,Operational,MINERAL,970,1020,1980-07-02,
United States,OCONEE-1,PWR,Operational,SENECA,846,900,1973-05-06,
United States,OCONEE-2,PWR,Operational,SENECA,846,900,1974-09-08,
United States,OCONEE-3,PWR,Operational,SENECA,846,900,1974-12-16,
United States,OYSTER CREEK-1,BWR,Permanent Shutdown,FORKED RIVER,636,650,1969-09-23,
United States,PEACH BOTTOM-2,BWR,Operational,DELTA,1130,1168,1974-02-16,
United States,PEACH BOTTOM-3,BWR,Operational,DELTA,1130,1168,1974-09-02,
United States,PILGRIM-1,BWR,Permanent Shutdown,PLYMOUTH,688,715,1972-07-01,
United States,POINT BEACH-1,PWR,Operational,TWO CREEKS,591,605,1970-11-03,
United States,POINT BEACH-2,PWR,Operational,TWO CREEKS,591,605,1971-05-04,
United States,PRAIRIE ISLAND-1,PWR,Operational,RED WING,522,550,1973-12-16,
United States,PRAIRIE ISLAND-2,PWR,Operational,RED WING,522,550,1974-12-21,
United States,QUAD CITIES-1,BWR,Operational,CORDOVA,840,867,1972-02-18,
United States,QUAD CITIES-2,BWR,Operational,CORDOVA,840,867,1972-05-23,
United States,RANCHO SECO,PWR,Permanent Shutdown,SACRAMENTO,873,913,1975-09-17,
United States,RIVER BEND-1,BWR,Operational,ST. FRANCISVILLE,936,973,1985-11-02,
United States,ROBINSON-2,PWR,Operational,HARTSVILLE,733,769,1970-09-12,
United States,SALEM-1,PWR,Operational,HANCOCK'S BRIDGE,1165,1221,1976-12-11,
United States,SALEM-2,PWR,Operational,HANCOCK'S BRIDGE,1165,1221,1980-12-25,
United States,SAN ONOFRE-2,PWR,Permanent Shutdown,SAN CLEMENTE,1070,1127,1982-09-22,
United States,SAN ONOFRE-3,PWR,Permanent Shutdown,SAN CLEMENTE,1080,1127,1983-11-25,
United States,SEABROOK-1,PWR,Operational,SEABROOK,1235,1300,1990-05-18,
United States,SOUTH TEXAS-1,PWR,Operational,PALACIOS,1285,1350,1988-03-31,
United States,SOUTH TEXAS-2,PWR,Operational,PALACIOS,1285,1350,1989-12-19,
United States,ST. LUCIE-1,PWR,Operational,FT. PIERCE,984,1030,1976-12-28,
United States,ST. LUCIE-2,PWR,Operational,FT. PIERCE,984,1030,1983-06-13,
United States,SUMMER-1,PWR,Operational,JENKINSVILLE,966,1000,1982-12-15,
United States,THREE MILE ISLAND-1,PWR,Permanent Shutdown,MIDDLETOWN,800,819,1974-06-20,
United States,THREE MILE ISLAND-2,PWR,Permanent Shutdown,MIDDLETOWN,906,950,1978-12-30,
United States,TURKEY POINT-3,PWR,Operational,HOMESTEAD,802,836,1972-04-14,
United States,TURKEY POINT-4,PWR,Operational,HOMESTEAD,802,836,1972-10-27,
United States,VOGTLE-1,PWR,Operational,WAYNESBORO,1150,1217,1987-03-27,
United States,VOGTLE-2,PWR,Operational,WAYNESBORO,1150,1217,1989-02-12,
United States,VOGTLE-3,PWR,Operational,WAYNESBORO,1117,1250,2023-03-01,
United States,VOGTLE-4,PWR,Operational,WAYNESBORO,1117,1250,2024-03-01,
United States,WATERFORD-3,PWR,Operational,KILLONA,1170,1218,1984-03-14,
United States,WATTS BAR-1,PWR,Operational,SPRING CITY,1102,1121,1996-02-07,
United States,WATTS BAR-2,PWR,Operational,SPRING CITY,1102,1121,2015-06-03,
United States,WBN-1,PWR,Operational,SPRING CITY,1102,1121,1996-02-07,
United States,WBN-2,PWR,Operational,SPRING CITY,1102,1121,2015-06-03,
United States,WOLF CREEK,PWR,Operational,BURLINGTON,1170,1200,1985-05-23,
```,,,,,,,,